energy[keV],transmission,transmission_lb,transmission_ub
28.5000,0.888324,0.883080,0.893599
28.6000,0.889330,0.884130,0.894560
28.7000,0.890317,0.885161,0.895504
28.8000,0.891288,0.886174,0.896431
28.9000,0.892241,0.887169,0.897342
29.0000,0.893178,0.888147,0.898237
29.1000,0.894098,0.889108,0.899116
29.2000,0.895017,0.890067,0.899994
29.3000,0.895939,0.891030,0.900875
29.4000,0.896844,0.891975,0.901739
29.5000,0.897734,0.892904,0.902589
29.6000,0.898608,0.893818,0.903425
29.7000,0.899468,0.894716,0.904246
29.8000,0.900314,0.895599,0.905053
29.9000,0.901145,0.896467,0.905847
30.0000,0.901962,0.897321,0.906628
30.1000,0.902767,0.898161,0.907396
30.2000,0.903558,0.898988,0.908151
30.3000,0.904336,0.899801,0.908894
30.4000,0.905102,0.900601,0.909625
30.5000,0.905856,0.901388,0.910345
30.6000,0.906597,0.902163,0.911053
30.7000,0.907328,0.902926,0.911750
30.8000,0.908047,0.903678,0.912437
30.9000,0.908754,0.904417,0.913112
