Energy,Count flux
4.40000,0.8735664102878833
5.20000,4.544787550405031
6.00000,15.52307769512274
6.80000,24.36872145287119
7.60000,21.00830892579317
8.40000,19.31243313115166
9.20000,18.04617933390582
10.0000,15.29278952530369
10.8000,11.00029866291099
11.6000,6.619034594249625
12.4000,3.348222910592712
13.2000,1.494464420155018
14.0000,0.6455414092922089
14.8000,0.2746267010365306
15.6000,0.1146660497848759
16.4000,0.04823254680798925
17.2000,0.02021406128540265
18.0000,0.008669385347081195
18.8000,0.003767526577160051
19.6000,0.001554821346809255
20.4000,0.0005812073820088087
21.2000,0.0001909564266878375
22.0000,4.954887876633747e-05
22.8000,7.747744073942372e-06
23.6000,4.877298251271690e-07
24.4000,4.084171975519182e-09
25.2000,0.000000000000000
26.0000,0.000000000000000
26.8000,0.000000000000000
27.6000,0.000000000000000
28.4000,0.000000000000000
29.2000,0.000000000000000
