FERMI GBM data for time interval: 17-Apr-2024 21:50:03.141 to 17-Apr-2024 22:28:10.988
Current time: 18-Jul-2024 16:39:49.00
Data units: Flux
Energies are binned into spex_eband bins(3 bins)

     Time at center of bin      5.00-10.0      10.0-20.0      20.0-30.0
                                      kev            kev            kev

  17-Apr-2024 21:56:19.979        0.10732        0.22967        0.17117
  17-Apr-2024 21:56:24.075        0.10600        0.21732        0.16129
  17-Apr-2024 21:56:28.171        0.10206        0.23795        0.17461
  17-Apr-2024 21:56:32.267        0.11215        0.21690        0.15158
  17-Apr-2024 21:56:36.363        0.11084        0.21888        0.15931
  17-Apr-2024 21:56:40.459        0.10732        0.22928        0.15950
  17-Apr-2024 21:56:44.555        0.10204        0.22652        0.15895
  17-Apr-2024 21:56:48.652        0.12097        0.24362        0.16347
  17-Apr-2024 21:56:52.748        0.11128        0.21888        0.15410
  17-Apr-2024 21:56:56.844        0.11305        0.22596        0.16921
  17-Apr-2024 21:57:00.940        0.11349        0.23656        0.17263
  17-Apr-2024 21:57:05.036        0.12493        0.22851        0.17137
  17-Apr-2024 21:57:09.132        0.11437        0.22479        0.16364
  17-Apr-2024 21:57:13.228        0.12624        0.23616        0.16418
  17-Apr-2024 21:57:17.324        0.13505        0.24637        0.16688
  17-Apr-2024 21:57:21.420        0.12053        0.25324        0.15826
  17-Apr-2024 21:57:25.516        0.12537        0.23715        0.16293
  17-Apr-2024 21:57:29.612        0.12581        0.24342        0.17155
  17-Apr-2024 21:57:33.708        0.13855        0.22476        0.16470
  17-Apr-2024 21:57:37.804        0.13065        0.24050        0.16132
  17-Apr-2024 21:57:41.900        0.13020        0.23498        0.15825
  17-Apr-2024 21:57:45.996        0.13461        0.24362        0.16239
  17-Apr-2024 21:57:50.092        0.14077        0.23265        0.16958
  17-Apr-2024 21:57:54.189        0.12712        0.23674        0.16166
  17-Apr-2024 21:57:58.285        0.14779        0.23752        0.16740
  17-Apr-2024 21:58:02.381        0.15264        0.23127        0.16778
  17-Apr-2024 21:58:06.477        0.13284        0.23047        0.16472
  17-Apr-2024 21:58:10.573        0.13770        0.24227        0.17551
  17-Apr-2024 21:58:14.669        0.13108        0.22930        0.15340
  17-Apr-2024 21:58:18.765        0.14164        0.23852        0.16059
  17-Apr-2024 21:58:22.861        0.14384        0.24401        0.15610
  17-Apr-2024 21:58:26.957        0.14648        0.22361        0.16382
  17-Apr-2024 21:58:31.053        0.13812        0.22537        0.16705
  17-Apr-2024 21:58:35.149        0.13327        0.22085        0.16309
  17-Apr-2024 21:58:39.245        0.14295        0.22007        0.16363
  17-Apr-2024 21:58:43.341        0.13899        0.23399        0.16291
  17-Apr-2024 21:58:47.437        0.12713        0.22989        0.17226
  17-Apr-2024 21:58:51.533        0.13284        0.22654        0.16597
  17-Apr-2024 21:58:55.629        0.12625        0.22538        0.17316
  17-Apr-2024 21:58:59.726        0.15044        0.24284        0.15790
  17-Apr-2024 21:59:03.822        0.16233        0.23305        0.17156
  17-Apr-2024 21:59:07.918        0.16453        0.25012        0.16528
  17-Apr-2024 21:59:12.014        0.16365        0.23540        0.17048
  17-Apr-2024 21:59:16.110        0.18344        0.22931        0.16203
  17-Apr-2024 21:59:20.206        0.23011        0.26447        0.16009
  17-Apr-2024 21:59:24.302        0.19272        0.26802        0.16782
  17-Apr-2024 21:59:28.398        0.18434        0.25935        0.16672
  17-Apr-2024 21:59:32.494        0.19446        0.26249        0.17624
  17-Apr-2024 21:59:36.590        0.20061        0.25286        0.16833
  17-Apr-2024 21:59:40.686        0.21957        0.27783        0.16279
  17-Apr-2024 21:59:44.782        0.22572        0.26683        0.16243
  17-Apr-2024 21:59:48.878        0.23629        0.27783        0.17070
  17-Apr-2024 21:59:52.974        0.26142        0.29967        0.16264
  17-Apr-2024 21:59:57.070        0.28562        0.29593        0.17540
  17-Apr-2024 22:00:01.166        0.25477        0.27686        0.16495
  17-Apr-2024 22:00:05.263        0.26887        0.27923        0.16119
  17-Apr-2024 22:00:09.359        0.27457        0.27352        0.17322
  17-Apr-2024 22:00:13.455        0.29266        0.29123        0.16103
  17-Apr-2024 22:00:17.551        0.30721        0.31520        0.17075
  17-Apr-2024 22:00:21.647        0.30721        0.30989        0.16283
  17-Apr-2024 22:00:25.743        0.34284        0.29594        0.16049
  17-Apr-2024 22:00:29.839        0.37810        0.33504        0.16608
  17-Apr-2024 22:00:33.935        0.42089        0.35043        0.17691
  17-Apr-2024 22:00:38.031        0.46762        0.39799        0.16452
  17-Apr-2024 22:00:42.127        0.49888        0.39210        0.16003
  17-Apr-2024 22:00:46.223        0.49803        0.39644        0.17748
  17-Apr-2024 22:00:50.319        0.54564        0.38981        0.17282
  17-Apr-2024 22:00:54.415        0.59904        0.42130        0.18221
  17-Apr-2024 22:00:58.511        0.66344        0.43570        0.17396
  17-Apr-2024 22:01:02.607        0.67712        0.44613        0.17019
  17-Apr-2024 22:01:06.704        0.69299        0.44103        0.16497
  17-Apr-2024 22:01:10.800        0.75741        0.48529        0.16337
  17-Apr-2024 22:01:14.896        0.91172        0.57110        0.17931
  17-Apr-2024 22:01:18.992        0.88872        0.55728        0.18218
  17-Apr-2024 22:01:23.088        0.96875        0.56961        0.18276
  17-Apr-2024 22:01:27.184         1.0840        0.58761        0.16893
  17-Apr-2024 22:01:31.280         1.1952        0.65512        0.17908
  17-Apr-2024 22:01:35.376         1.3877        0.79403        0.19238
  17-Apr-2024 22:01:39.472         1.6683        0.99206        0.20253
  17-Apr-2024 22:01:43.568         1.8796         1.0551        0.19270
  17-Apr-2024 22:01:47.664         1.9114        0.99310        0.18742
  17-Apr-2024 22:01:51.760         2.0454        0.99449        0.18421
  17-Apr-2024 22:01:55.856         2.1999         1.0484        0.18029
  17-Apr-2024 22:01:59.952         2.5321         1.2504        0.19913
  17-Apr-2024 22:02:04.048         2.8098         1.3725        0.21090
  17-Apr-2024 22:02:08.144         2.9176         1.4622        0.21536
  17-Apr-2024 22:02:12.241         3.2094         1.4948        0.20729
  17-Apr-2024 22:02:16.337         3.3085         1.4672        0.17975
  17-Apr-2024 22:02:20.433         3.4721         1.4812        0.17472
  17-Apr-2024 22:02:24.529         3.5394         1.4793        0.18198
  17-Apr-2024 22:02:28.625         3.6858         1.5782        0.19279
  17-Apr-2024 22:02:32.721         3.8455         1.5371        0.17357
  17-Apr-2024 22:02:36.817         4.0333         1.6208        0.19545
  17-Apr-2024 22:02:40.913         4.2187         1.8054        0.18817
  17-Apr-2024 22:02:45.009         4.3643         1.8413        0.20517
  17-Apr-2024 22:02:49.105         4.5369         1.8549        0.19993
  17-Apr-2024 22:02:53.201         4.6489         1.9197        0.18782
  17-Apr-2024 22:02:57.297         4.6979         2.0251        0.20940
  17-Apr-2024 22:03:01.393         4.7381         2.0057        0.21226
  17-Apr-2024 22:03:05.489         4.7743         2.0098        0.20828
  17-Apr-2024 22:03:09.585         4.9071         2.0181        0.20233
  17-Apr-2024 22:03:13.681         4.9851         2.1063        0.19804
  17-Apr-2024 22:03:17.778         5.1621         2.2476        0.23080
  17-Apr-2024 22:03:21.874         5.5824         2.6296        0.27925
  17-Apr-2024 22:03:25.970         5.7465         2.8791        0.29639
  17-Apr-2024 22:03:30.066         6.3961         3.4364        0.33831
  17-Apr-2024 22:03:34.162         6.9664         3.6455        0.32098
  17-Apr-2024 22:03:38.258         7.4844         3.6518        0.28846
  17-Apr-2024 22:03:42.354         8.1135         3.8067        0.25833
  17-Apr-2024 22:03:46.450         8.5095         3.9643        0.25456
  17-Apr-2024 22:03:50.546         9.1839         4.3646        0.27140
  17-Apr-2024 22:03:54.642         10.316         5.0589        0.34192
  17-Apr-2024 22:03:58.738         11.243         5.6120        0.36122
  17-Apr-2024 22:04:02.834         11.943         5.8878        0.36151
