# Original file: FOXSI4_Effective_Areas_2023Oct26-removedComma.txt
# Areas scaled by 1/0.92 to correct for "finite source distance"
# [Effective areas as measured at SLTF at 104m finite source distance to X-ray node]
# SDD detector areas of 4.0mm radius were used for the effective area calculations
# Energy[keV] FM1[cm2] FM2[cm2] FM3[cm2] 
1.192999999999999972e+01 2.576086956521739246e+00 2.510869565217391131e+00 2.152173913043478048e+00
1.208999999999999986e+01 2.586956521739130377e+00 2.510869565217391131e+00 2.195652173913043459e+00
1.224000000000000021e+01 2.576086956521739246e+00 2.499999999999999556e+00 2.141304347826086918e+00
1.239000000000000057e+01 2.565217391304347672e+00 2.380434782608695343e+00 2.097826086956521507e+00
1.255000000000000071e+01 2.499999999999999556e+00 2.413043478260869623e+00 2.054347826086956097e+00
1.269999999999999929e+01 2.293478260869564966e+00 2.217391304347826164e+00 1.858695652173912860e+00
1.284999999999999964e+01 2.076086956521738802e+00 2.010869565217391131e+00 1.673913043478260754e+00
1.300999999999999979e+01 2.076086956521738802e+00 1.945652173913043459e+00 1.608695652173912860e+00
1.316000000000000014e+01 2.021739130434782705e+00 1.923913043478260754e+00 1.652173913043478271e+00
1.332000000000000028e+01 1.891304347826086918e+00 1.847826086956521507e+00 1.510869565217391131e+00
1.347000000000000064e+01 1.858695652173912860e+00 1.750000000000000000e+00 1.456521739130434812e+00
1.361999999999999922e+01 1.880434782608695565e+00 1.782608695652173614e+00 1.423913043478260754e+00
1.377999999999999936e+01 1.880434782608695565e+00 1.706521739130434812e+00 1.467391304347826164e+00
1.392999999999999972e+01 1.869565217391304213e+00 1.771739130434782483e+00 1.489130434782608647e+00
1.408000000000000007e+01 1.891304347826086918e+00 1.728260869565217295e+00 1.456521739130434812e+00
1.424000000000000021e+01 1.869565217391304213e+00 1.695652173913043459e+00 1.369565217391304213e+00
1.439000000000000057e+01 1.847826086956521507e+00 1.760869565217391353e+00 1.413043478260869623e+00
1.455000000000000071e+01 1.815217391304347672e+00 1.739130434782608647e+00 1.358695652173913082e+00
1.469999999999999929e+01 1.836956521739130377e+00 1.673913043478260754e+00 1.369565217391304213e+00
1.484999999999999964e+01 1.836956521739130377e+00 1.673913043478260754e+00 1.347826086956521729e+00
1.500999999999999979e+01 1.793478260869564966e+00 1.597826086956521729e+00 1.304347826086956319e+00
1.516000000000000014e+01 1.739130434782608647e+00 1.630434782608695565e+00 1.293478260869565188e+00
1.531000000000000050e+01 1.750000000000000000e+00 1.586956521739130377e+00 1.271739130434782483e+00
1.547000000000000064e+01 1.739130434782608647e+00 1.576086956521739024e+00 1.271739130434782483e+00
1.561999999999999922e+01 1.663043478260869401e+00 1.489130434782608647e+00 1.271739130434782483e+00
1.577999999999999936e+01 1.652173913043478271e+00 1.543478260869564966e+00 1.173913043478260976e+00
1.592999999999999972e+01 1.608695652173912860e+00 1.467391304347826164e+00 1.163043478260869623e+00
1.607999999999999829e+01 1.576086956521739024e+00 1.445652173913043459e+00 1.163043478260869623e+00
1.623999999999999844e+01 1.532608695652173836e+00 1.456521739130434812e+00 1.054347826086956541e+00
1.639000000000000057e+01 1.532608695652173836e+00 1.358695652173913082e+00 1.108695652173913082e+00
1.653999999999999915e+01 1.456521739130434812e+00 1.336956521739130377e+00 9.891304347826086474e-01
1.669999999999999929e+01 1.445652173913043459e+00 1.347826086956521729e+00 1.010869565217391353e+00
1.685000000000000142e+01 1.380434782608695565e+00 1.304347826086956319e+00 9.891304347826086474e-01
1.701000000000000156e+01 1.347826086956521729e+00 1.206521739130434812e+00 8.804347826086956763e-01
1.716000000000000014e+01 1.326086956521739024e+00 1.097826086956521729e+00 8.043478260869564300e-01
1.730999999999999872e+01 1.249999999999999778e+00 1.152173913043478271e+00 7.934782608695651884e-01
1.746999999999999886e+01 1.206521739130434812e+00 1.076086956521739024e+00 7.065217391304348116e-01
1.762000000000000099e+01 1.119565217391304213e+00 1.000000000000000000e+00 6.847826086956521063e-01
1.776999999999999957e+01 1.065217391304347672e+00 9.130434782608695121e-01 6.304347826086955653e-01
1.792999999999999972e+01 9.782608695652174058e-01 8.586956521739130821e-01 6.086956521739130821e-01
1.807999999999999829e+01 9.565217391304347005e-01 8.043478260869564300e-01 5.326086956521738358e-01
1.823000000000000043e+01 8.804347826086956763e-01 7.826086956521738358e-01 4.673913043478260532e-01
1.839000000000000057e+01 8.804347826086956763e-01 7.065217391304348116e-01 4.673913043478260532e-01
1.853999999999999915e+01 7.717391304347824832e-01 6.739130434782608647e-01 4.130434782608695676e-01
1.869999999999999929e+01 6.956521739130434590e-01 6.413043478260869179e-01 3.695652173913043792e-01
1.885000000000000142e+01 6.739130434782608647e-01 5.326086956521738358e-01 3.260869565217390798e-01
1.900000000000000000e+01 6.195652173913042127e-01 5.217391304347825942e-01 3.043478260869565410e-01
1.916000000000000014e+01 5.760869565217391353e-01 4.239130434782608647e-01 2.608695652173912971e-01
1.930999999999999872e+01 5.000000000000000000e-01 3.804347826086956208e-01 2.500000000000000000e-01
1.946000000000000085e+01 4.456521739130434034e-01 3.804347826086956208e-01 2.173913043478260809e-01
1.962000000000000099e+01 4.239130434782608647e-01 3.369565217391304324e-01 1.847826086956521896e-01
