,EPDL97 Energy [keV],S08 EPDL97 EA [cm^2],S09 EPDL97 EA [cm^2],S10 EPDL97 EA [cm^2],S08+S09+S10 EA [cm^2]
0,1.0,2.2919808875065284,2.087484332899012,1.8120491880334575,6.191514408438998
1,1.03808,2.291111951958373,2.0867541187393335,1.8115073834745945,6.189373454172301
2,1.0761500000000002,2.290518945804339,2.0862636435658146,1.811159487915746,6.187942077285899
3,1.11423,2.290194607744582,2.086010707938215,1.8110055013569113,6.187210817039708
4,1.1522999999999999,2.2891707644663932,2.085146327923897,1.8103629401607861,6.184680032551077
5,1.1903800000000002,2.2874788816024356,2.08370129568622,1.8092565182195293,6.180436695508185
6,1.22846,2.285975792534457,2.0824212214665425,1.8082812700135762,6.176678284014575
7,1.26653,2.2846614972624555,2.0813061052648654,1.8074409976801817,6.173408600207503
8,1.3046099999999998,2.2835384162197143,2.080358146521427,1.806737602287974,6.170634165029115
9,1.3426900000000002,2.282604128972951,2.0795795446764687,1.8061710838369525,6.168354757486372
10,1.38076,2.2814108553650385,2.0785722010465513,1.80542396386631,6.1654070202779
11,1.4188399999999999,2.279007365116241,2.0765091261014352,1.8038308683563904,6.159347359574067
12,1.4569100000000001,2.276715214798404,2.0745450259671196,1.8023176177288296,6.153577858494353
13,1.49499,2.2745392452780933,2.072682100083844,1.800886113052255,6.148107458414192
14,1.53307,2.2724818769885884,2.0709225478918474,1.7995439586011774,6.142948383481613
15,1.5711400000000002,2.270547950796454,2.0692729677118513,1.7982873522383411,6.138108270746646
16,1.60922,2.268739887134972,2.0677355589840944,1.7971238982382567,6.133599344357323
17,1.64729,2.2660822513915884,2.0654569388954593,1.795365409757737,6.126904600044785
18,1.6853699999999998,2.2632914918177076,2.0630617484741043,1.7935175710517204,6.1198708113435325
19,1.7234500000000001,2.2596003310630084,2.0598769590065915,1.7910366764927168,6.1105139665623165
20,1.76152,2.2559333746411268,2.0567163633817183,1.7885766936886167,6.101226431711462
21,1.7995999999999999,2.252036477057477,2.0533534192547656,1.7859551200511716,6.091345016363414
22,1.83768,2.2462274371812287,2.048318900545416,1.7819932930312763,6.076539630757922
23,1.87575,2.2402707508747923,2.0431546148619075,1.7779307093741188,6.061356075110819
24,1.91383,2.232564091305637,2.036457319331122,1.7726381343149114,6.041659544951671
25,1.9519000000000002,2.221570483339837,2.0268831559664227,1.7650376619418107,6.01349130124807
26,1.98998,2.201989178090317,2.0097847075406996,1.7513936924016047,5.963167578032621
27,2.02806,2.096027449880987,1.9168891495642602,1.6767045081608907,5.689621107606138
28,2.0661300000000002,1.9331129265516078,1.7735494296835297,1.5606936962309035,5.267356052466041
29,2.10421,1.9525780510036026,1.7907292573981326,1.574679858124075,5.3179871665258105
30,2.1422800000000004,1.9416425334365655,1.7811243018700733,1.566934904535278,5.289701739841917
31,2.1803600000000003,1.9635982837355015,1.8005145670258715,1.5827403891050522,5.346853239866426
32,2.21844,1.9754124185838213,1.810972905367049,1.591306604340968,5.3776919282918385
33,2.25651,1.9827971605265018,1.817533835602955,1.5967113424492034,5.39704233857866
34,2.2945900000000004,1.9874976419596992,1.8217303675808656,1.6002036055180844,5.409431615058649
35,2.3326700000000002,1.9919028305325208,1.8256695650506973,1.6034829489006752,5.421055344483893
36,2.3707399999999996,1.995983681045585,1.8293206358490894,1.606536065116583,5.4318403820112575
37,2.40882,1.9995296158033782,1.8325054253166024,1.6092127697442282,5.441247810864208
38,2.44689,2.003070709694608,1.8356880153438755,1.6118894743718735,5.450648199410358
39,2.4849699999999997,2.0009697736060312,1.8339042693092393,1.6105473199207958,5.445421362836067
40,2.52305,1.98677393240845,1.8214708336325462,1.600570511763209,5.408815277804205
41,2.56112,1.9758626191742306,1.811920864110487,1.5929149083999083,5.380698391684626
42,2.5991999999999997,1.9879647855830809,1.8226431352804637,1.6017092518711347,5.41231717273468
43,2.63727,1.9950663368317942,1.8289643265302102,1.6069390916656319,5.430969755027636
44,2.67535,2.0006526968461196,1.8339548564347594,1.6110891244796586,5.445696677760537
45,2.71343,2.0032207765580776,1.836286263089154,1.613089048675882,5.452596088323114
46,2.7515,2.0058880940345882,1.838705647353149,1.615161213479954,5.459754954867691
47,2.78958,2.0079478827573745,1.8405949665193049,1.6168018357055631,5.4653446849822425
48,2.82766,2.008124574386944,1.8408237083042644,1.6171041056173499,5.466052388308558
49,2.86573,2.006531929287539,1.8394974458395472,1.6161459670290452,5.462175342156131
50,2.90381,1.9993819693731902,1.8332774288408409,1.6112202982149622,5.4438796964289935
51,2.9418800000000003,1.998544499457698,1.8326153973286023,1.6107963599110098,5.44195625669731
52,2.97996,2.001395769863623,1.8352019390508365,1.613011104862151,5.449608813776611
53,3.01804,2.0019887760176567,1.8358023862363553,1.6136194468229794,5.451410609076992
54,3.0561100000000003,2.0026568156034252,1.8364710160693138,1.614282919774008,5.453410751446747
55,3.09419,2.0021727289470714,1.8361257039516345,1.6141270321465457,5.452425465045252
56,3.13226,1.9999677142273788,1.8342649775085986,1.6127449552542885,5.446977646990266
57,3.17034,1.997435941014647,1.8321183238343632,1.611129046920838,5.440683311769848
58,3.2084200000000003,1.9960974414098283,1.8310208031546056,1.6103629162639197,5.437481160828353
59,3.2464899999999997,1.9967412766627792,1.8316696380254043,1.6110168838718102,5.4394277985599935
60,3.28457,1.996552482866801,1.8315882587365244,1.6110796191365206,5.439220360739847
61,3.32265,1.9964193590363035,1.8315574665731644,1.6111860789796657,5.439162904589134
62,3.3607199999999997,1.9963419051712872,1.8315750620950844,1.6113343623326175,5.439251329598989
63,3.3988,1.9960659757771653,1.831418901838045,1.6113419666071278,5.438826844222338
64,3.43687,1.9954197200909325,1.8309372244254858,1.611087223411031,5.437444167927449
65,3.4749499999999998,1.9948339752367443,1.8305127324591666,1.6108781058619963,5.436224813557907
66,3.51303,1.9943087412146001,1.8301410270586076,1.610716515028651,5.435166283301859
67,3.5511,1.9938464384577823,1.8298221082238084,1.6105986487737407,5.434267195455331
68,3.58918,1.9931687171388865,1.8293184364088493,1.6103305980972504,5.432817751644986
69,3.62725,1.9924353258545102,1.8287641774683705,1.6100245260482087,5.431224029371089
70,3.66533,1.9917648658354599,1.8282671039741316,1.609764079646229,5.42979604945582
71,3.70341,1.991154916648454,1.8278272159261324,1.6095530610285667,5.428535193603153
72,3.74148,1.9906103191600555,1.8274401144438934,1.6093857669893388,5.427436200593288
73,3.77956,1.989099968792231,1.826206228469256,1.6085321871755514,5.423838384437039
74,3.81764,1.9872604394980857,1.8246820163829394,1.6074447759205706,5.419387231801595
75,3.85571,1.9854596371364488,1.8231951947807026,1.606387781763631,5.415042613680782
76,3.89379,1.9836975617073203,1.8217391653418256,1.6053593036361054,5.410796030685251
77,3.93186,1.9819742132106999,1.8203205263870286,1.6043593415379938,5.406654081135723
78,3.9699400000000002,1.980289591646588,1.8189348790358317,1.6033897965379234,5.402614267220343
79,4.00802,1.9786412765817027,1.8175844227284748,1.602446866498639,5.398672565808816
80,4.04609,1.9769130872185188,1.8161613848931977,1.601448805469155,5.394523277580872
81,4.08417,1.975100182690473,1.8146679649702409,1.6003937123808432,5.390161860041557
82,4.12224,1.973330845961499,1.8132097360911241,1.5993690363905728,5.385909618443196
83,4.16032,1.9715978157317515,1.811786698255847,1.5983747774983437,5.381759291485942
84,4.1983999999999995,1.9699035124345128,1.81039665202417,1.597407133566901,5.377707298025584
85,4.236470000000001,1.968247936069782,1.809043996276573,1.5964699067334998,5.3737618390798545
86,4.2745500000000005,1.9666310866375596,1.807724332132576,1.5955630969981396,5.369918515768275
87,4.31262,1.9650529641378456,1.8064376595921787,1.594682902223566,5.36617352595359
88,4.3507,1.9629471871827053,1.8046913040416226,1.593430097997985,5.361068589222313
89,4.38878,1.9604154139699739,1.802566644769787,1.591871221723362,5.354853280463122
90,4.42685,1.95790784509006,1.8004639799003517,1.590331356135015,5.348703181125426
91,4.464930000000001,1.9554220601096823,1.798381109993076,1.588808600164316,5.342611770267074
92,4.503010000000001,1.9529604794621223,1.7963202344882006,1.5873029538112657,5.336583667761588
93,4.54108,1.9505231031473798,1.794281353385725,1.585816318144491,5.330620774677596
94,4.57916,1.9481050902988912,1.7922622672454094,1.5843486931639925,5.324716050708293
95,4.617229999999999,1.9457137022165025,1.7902629760672537,1.5828962767325145,5.318872955016271
96,4.65531,1.943341677600368,1.7882856792914978,1.5814628709873124,5.3130902278791785
97,4.69339,1.9409962777503327,1.7863259780376621,1.5800465748597587,5.3073688306477536
98,4.73146,1.9386702413665517,1.7843904706264664,1.5786473883498533,5.301708100342871
99,4.76954,1.9362425467849365,1.7823647861654306,1.577177862300727,5.295785195251094
100,4.80762,1.9338196930698845,1.7803391017043952,1.5757102373202283,5.289869032094508
