#energy[keV] #eff-area[mm^2] #error_eff-area[mm^2]
0.1 58.45510852257034115328 1.64003484576071171840
0.2 58.07100743952912243200 1.65695791445226625536
0.3 58.32687722619474354688 1.65321217376324738304
0.4 61.14951484222634219520 1.71613181980216968704
0.5 57.06593651893780441088 1.64413890720897236992
0.6 59.45264720129489210368 1.69302833409552583168
0.7 59.57708707733526863360 1.67502986702504659200
0.8 56.87406915241982350592 1.62847342615593460736
0.9 48.63378417393265989632 1.49429932627338344704
1 49.43750737979047195136 1.50744672861150774784
1.1 51.52960552245356200704 1.55936583206948274432
1.2 54.83447145061462009088 1.62345400286799433984
1.3 55.12046315798851207424 1.60261804804971244800
1.4 57.12743194694517383936 1.64121761220242027776
1.5 54.87906867112604927488 1.60680838802400252928
1.6 55.27584666589919070464 1.59799313751345414400
1.7 58.08268615140581654784 1.66393206511891414784
1.8 54.04645989697119017728 1.59898281487434438144
1.9 56.22364552050138834432 1.62375499682137154304
2 55.58724628884488137728 1.60734984934003624448
2.1 56.52846068213436506624 1.63534384785368980736
2.2 56.34639621651347471104 1.62804829001971229696
2.3 57.72849075339892364800 1.64633740765659108096
2.4 56.99341293348865549824 1.63561895759382560000
2.5 54.52297458505597105152 1.59728881636775344128
2.6 55.93694295245817716224 1.61595600979771694080
2.7 56.59281692412447955200 1.63570028904099507200
2.8 55.56137521322077371136 1.61051657257242209280
2.9 58.00555887366325629440 1.66300139227629390592
3 56.55276668295587532544 1.62801440495232527360
3.1 60.28549921301053843968 1.70853147290852532736
3.2 55.19309211553020860160 1.61331165963394421504
3.3 58.43473997228348872448 1.67028259647822652928
3.4 56.53796958921800980736 1.61820657039211802368
3.5 58.02178968104765938432 1.66416164852478433792
3.6 54.56858862610610813696 1.59591121460002234112
3.7 56.06470705547910488320 1.62839946298966361344
3.8 59.28453873398761630208 1.68644927157137156864
3.9 59.27064162576872558336 1.68314393364017335552
4 56.08914302335051837184 1.63154039300092141568
4.1 55.88751822747917651200 1.62548575358264892160
4.2 56.69490194790835156480 1.63300268664748621824
4.3 56.15577209609088550144 1.61233880509272963584
4.4 57.92754570418477292544 1.65941015822643270912
4.5 55.75691245889179525120 1.60987905832692354560
4.6 59.03859807457811991808 1.68037444994970550784
4.7 59.41103195565506832128 1.69452684328008658176
4.8 56.58707734810022787072 1.63325737476514782208
4.9 59.14224011831424064256 1.67983174045053399296
5 58.69072417747750096896 1.66478905063623851008
5.1 56.04142867496586422016 1.61303496049108771584
5.2 58.72190389271162257408 1.67147014796141941504
5.3 57.68968738449645296384 1.64200032814023348224
5.4 59.26379355194992983296 1.69267925768163599360
5.5 56.28848124670892033792 1.60521012598041683200
5.6 60.23261128921448676864 1.69843341028717684224
5.7 57.23569866054170693632 1.65165882688828841216
5.8 59.75156939143636108032 1.68588828645076457728
5.9 59.80066363950927197440 1.70373675060821768192
6 56.24436798105246681600 1.64120574843568864000
6.1 58.04717288686899524096 1.65159002006243417600
6.2 57.96418198587511851264 1.64307635045876681472
6.3 58.88775161734900115968 1.67036046359119144704
6.4 60.04232850484187177728 1.68216896036086177280
6.5 59.76312854051796984832 1.68709914804704741120
6.6 55.97575082856509550592 1.63095890348230608896
6.7 59.30496954198550086656 1.66182215497837292288
6.8 58.53759241476018360064 1.67126419106661661696
6.9 56.31142679653233190912 1.62867878273705428736
7 58.38377384233687858688 1.64101047178240795136
7.1 58.40700759057843790592 1.65320331010064496896
7.2 60.08537793838427656448 1.69570456994227519232
7.3 55.44492278695895644672 1.62753759274029594624
7.4 57.91041022414021632256 1.65299834291357774592
7.5 62.21060805970078501376 1.74073724150112674048
7.6 59.34579871147476755456 1.68097454418962744320
7.7 58.36542745259678054144 1.65583576255650122752
7.8 58.70299905487459147776 1.66699800509434703104
7.9 58.64277014577288307200 1.67852812223932379904
8 59.28721113393155778304 1.68125824425629743872
8.1 56.94514599827949326080 1.62688988131372283904
8.2 57.28729952833321095936 1.63181387517667478528
8.3 60.24460507441958490624 1.69568402162023246336
8.4 35.36799081079661063680 1.24056176463184196352
8.5 37.20581360914243492608 1.27935660230569217536
8.6 42.23966930898709044480 1.38905558504818512640
8.7 40.79384488351007859200 1.33425358280336733184
8.8 41.65604181830386366208 1.36271696717962864896
8.9 41.28966091755524854784 1.35709573031535465984
9 41.16728268299984929792 1.34714527985375390720
9.1 42.75910265067002638848 1.38945439576625237248
9.2 43.50040726131081682432 1.40339668342990046464
9.3 42.85038708279448444672 1.40113698417777694976
9.4 41.74765533395915451648 1.36750014288658285824
9.5 43.15661973667726029824 1.39283281215805192192
9.6 43.07980275645360584448 1.38549327450663476992
9.7 43.08017293943754795520 1.39741813485212253184
9.8 40.36334302233224954880 1.33390300601592625408
9.9 43.03590482456652240896 1.38924659785354150400
10 41.19024335809944963584 1.35757870523791448832
10.5 42.47006592502499723776 1.37681692707290034688
11 41.93060716872772617728 1.36599102453940748800
11.5 43.89606750108013600512 1.41454982654591691264
12 43.08584426932340024320 1.39530465245854345216
