energy(keV),efficiency
0.0,0.11950263418526108
0.10033444816053512,0.12648127817277643
0.20066889632107024,0.1337389178319276
0.3010033444816054,0.14127783648640235
0.4013377926421405,0.14909973199768856
0.5016722408026756,0.15720568833986237
0.6020066889632107,0.16559614904666775
0.7023411371237458,0.1742708927587987
0.802675585284281,0.18322901109250933
0.9030100334448161,0.19246888904178522
1.0033444816053512,0.2019881881153457
1.1036789297658862,0.21178383239672977
1.2040133779264215,0.22185199770072095
1.3043478260869565,0.23218810398244993
1.4046822742474916,0.24278681113680278
1.5050167224080269,0.2536420183053675
1.605351170568562,0.26474686678622295
1.705685618729097,0.2760937466185901
1.8060200668896322,0.2876743068898956
1.9063545150501673,0.29947946978736306
2.0066889632107023,0.3114994483900543
2.1070234113712374,0.323723768170572
2.2073578595317724,0.3361412921486463
2.307692307692308,0.34874024961180594
2.408026755852843,0.36150826829155214
2.508361204013378,0.3744324098571421
2.608695652173913,0.38749920856353237
2.709030100334448,0.4006947128654618
2.809364548494983,0.4140045297863315
2.9096989966555187,0.4274138718086832
3.0100334448160537,0.44090760603293133
3.1103678929765888,0.45447030533275556
3.210702341137124,0.46808630121940625
3.311036789297659,0.4817397381132908
3.411371237458194,0.49541462870972164
3.511705685618729,0.509094910116754
3.6120401337792645,0.522764500436707
3.7123745819397995,0.5364073554593181
3.8127090301003346,0.5500075251335639
3.9130434782608696,0.5635492094869958
4.013377926421405,0.5770168136659807
4.11371237458194,0.5903950017774391
4.214046822742475,0.6036687492224759
4.31438127090301,0.6168233932245882
4.414715719063545,0.6298446812697854
4.51505016722408,0.6427188171928255
4.615384615384616,0.6554325046626586
4.7157190635451505,0.6679729878409096
4.816053511705686,0.6803280890095971
4.916387959866221,0.6924862429880357
5.016722408026756,0.7044365281838076
5.117056856187291,0.7161686941485096
5.217391304347826,0.7276731855354837
5.317725752508362,0.7389411623836272
5.418060200668896,0.7499645166784186
5.518394648829432,0.7607358851682172
5.618729096989966,0.7712486584404652
5.719063545150502,0.781496986288385
5.819397993311037,0.7914757794239067
5.919732441471572,0.8011807076166624
6.0200668896321075,0.810608194361739
6.120401337792642,0.8197554082003226
6.2207357859531776,0.8286202508372217
6.321070234113712,0.8372013422173934
6.421404682274248,0.8454980027398831
6.521739130434783,0.8535102328019457
6.622073578595318,0.861238689878465
6.722408026755853,0.8686846633520597
6.822742474916388,0.8758500473174748
6.923076923076923,0.882737311589953
7.023411371237458,0.8893494711513208
7.1237458193979935,0.8956900542695132
7.224080267558529,0.9017630695272902
7.3244147157190636,0.9075729719940144
7.424749163879599,0.9131246287706708
7.525083612040134,0.9184232841329316
7.625418060200669,0.9234745244900984
7.725752508361205,0.9282842433693486
7.826086956521739,0.9328586066250028
7.926421404682275,0.9372040180616548
8.02675585284281,0.9413270856481424
8.127090301003344,0.9452345884866171
8.22742474916388,0.948933444687569
8.327759197324415,0.9524306802877274
8.42809364548495,0.9557333993334542
8.528428093645486,0.9588487552377023
8.62876254180602,0.9617839235040037
8.729096989966555,0.9645460758963932
8.82943143812709,0.967142356119797
8.929765886287626,0.9695798570613585
9.03010033444816,0.9718655996295251
9.130434782608695,0.974006513214592
9.230769230769232,0.9760094177818792
9.331103678929766,0.9778810075968793
9.431438127090301,0.9796278365706217
9.531772575250836,0.9812563052032135
9.632107023411372,0.9827726490940737
9.732441471571907,0.9841829289788011
9.832775919732441,0.9854930222449487
9.933110367892978,0.9867086158721945
10.033444816053512,0.9878352007365336
10.133779264214047,0.9888780672131334
10.234113712374581,0.9898423020083887
10.334448160535118,0.9907327861484582
10.434782608695652,0.9915541940491172
10.535117056856187,0.9923109935901036
10.635451505016723,0.9930074471161952
10.735785953177258,0.9936476132870169
10.836120401337793,0.994235349697964
10.936454849498329,0.9947743161955962
11.036789297658864,0.9952679788123601
11.137123745819398,0.9957196142474605
11.237458193979933,0.9961323148230858
11.33779264214047,0.9965089938479328
11.438127090301004,0.9968523913230197
11.538461538461538,0.9971650799280746
11.638795986622075,0.9974494712302725
11.73913043478261,0.9977078220607501
11.839464882943144,0.9979422410080667
11.939799331103679,0.9981546949815956
12.040133779264215,0.9983470158016629
12.14046822742475,0.9985209067770685
12.240802675585284,0.9986779492343938
12.34113712374582,0.9988196089671967
12.441471571906355,0.998947242576788
12.54180602006689,0.9990621036797479
12.642140468227424,0.9991653489606662
12.74247491638796,0.9992580440517577
12.842809364548495,0.999341169223993
12.94314381270903,0.9994156248771995
13.043478260869566,0.999482236819213
13.143812709030101,0.9995417613265876
13.244147157190636,0.999594889981616
13.34448160535117,0.9996422542824527
13.444816053511706,0.9996844300249847
13.545150501672241,0.9997219414567682
13.645484949832776,0.9997552652048192
13.745819397993312,0.9997848339803699
13.846153846153847,0.9998110400648303
13.946488294314381,0.9998342385821809
14.046822742474916,0.999854750563851
14.147157190635452,0.9998728658128281
14.247491638795987,0.9998888455742986
14.347826086956522,0.9999029250205614
14.448160535117058,0.999915315558281
14.548494983277592,0.9999262069663724
14.648829431438127,0.9999357693729478
14.749163879598662,0.9999441550798065
14.849498327759198,0.999951500242933
14.949832775919733,0.9999579264173879
15.050167224080267,0.9999635419748392
15.150501672240804,0.999968443401801
15.250836120401338,0.9999727164864223
15.351170568561873,0.9999764374014175
15.45150501672241,0.9999796736904478
15.551839464882944,0.999982485164962
15.652173913043478,0.999984924718189
15.752508361204013,0.9999870390626511
15.85284280936455,0.999988869397229
15.953177257525084,0.9999904520094801
16.05351170568562,0.9999918188185739
16.153846153846153,0.9999929978638787
16.254180602006688,0.9999940137439111
