energy (keV),transmission
1.00000,0.00000
1.10000,0.00000
1.20000,3.52115e-37
1.30000,6.25969e-30
1.40000,1.88944e-24
1.50000,2.76678e-20
1.60000,4.96678e-19
1.70000,3.44229e-16
1.80000,6.70818e-14
1.90000,4.88833e-12
2.00000,1.61701e-10
2.10000,2.97654e-09
2.20000,3.41633e-08
2.30000,2.64408e-07
2.40000,1.51796e-06
2.50000,6.68195e-06
2.60000,2.39785e-05
2.70000,7.22465e-05
2.80000,0.000187468
2.90000,0.000431084
3.00000,0.000896862
3.10000,0.00170627
3.20000,0.00300954
3.30000,0.00497560
3.40000,0.00778097
3.50000,0.0115984
3.60000,0.0165836
3.70000,0.0228630
3.80000,0.0305269
3.90000,0.0396264
4.00000,0.0501650
4.10000,0.0621043
4.20000,0.0753784
4.30000,0.0899960
4.40000,0.105822
4.50000,0.122655
4.60000,0.140332
4.70000,0.158683
4.80000,0.177950
4.90000,0.197629
5.00000,0.217549
5.10000,0.237789
5.20000,0.258324
5.30000,0.278720
5.40000,0.299085
5.50000,0.319517
5.60000,0.339504
5.70000,0.359390
5.80000,0.378986
5.90000,0.397970
6.00000,0.416983
6.10000,0.435254
6.20000,0.453268
6.30000,0.470751
6.40000,0.487701
6.50000,0.504318
6.60000,0.520227
6.70000,0.535926
6.80000,0.550816
6.90000,0.565575
7.00000,0.579495
7.10000,0.593309
7.20000,0.606311
7.30000,0.619187
7.40000,0.631324
7.50000,0.643289
7.60000,0.654623
7.70000,0.665701
7.80000,0.676286
7.90000,0.686509
8.00000,0.696403
8.10000,0.705811
8.20000,0.715070
8.30000,0.723770
8.40000,0.732376
8.50000,0.740527
8.60000,0.748406
8.70000,0.756049
8.80000,0.763245
8.90000,0.770419
9.00000,0.777178
9.10000,0.783715
9.20000,0.790074
9.30000,0.796071
9.40000,0.802001
9.50000,0.807652
9.60000,0.813030
9.70000,0.818365
9.80000,0.823406
9.90000,0.828271
10.0000,0.833040
10.1000,0.837552
10.2000,0.841947
10.3000,0.846227
10.4000,0.850281
10.5000,0.854246
10.6000,0.858094
10.7000,0.861745
10.8000,0.865315
10.9000,0.868787
11.0000,0.872085
11.1000,0.875294
11.2000,0.878437
11.3000,0.881425
11.4000,0.884306
11.5000,0.887158
11.6000,0.889874
11.7000,0.892462
11.8000,0.895051
11.9000,0.897526
12.0000,0.899886
12.1000,0.902204
12.2000,0.904464
12.3000,0.906623
12.4000,0.908693
12.5000,0.910762
12.6000,0.912740
12.7000,0.914632
12.8000,0.916486
12.9000,0.918304
13.0000,0.920044
13.1000,0.921712
13.2000,0.923369
13.3000,0.924972
13.4000,0.926510
13.5000,0.927986
13.6000,0.929466
13.7000,0.930886
13.8000,0.932251
13.9000,0.933568
14.0000,0.934882
14.1000,0.936146
14.2000,0.937361
14.3000,0.938535
14.4000,0.939707
14.5000,0.940835
14.6000,0.941922
14.7000,0.942970
14.8000,0.944017
14.9000,0.945029
15.0000,0.946005
15.1000,0.946946
15.2000,0.947880
15.3000,0.948793
15.4000,0.949673
15.5000,0.950525
15.6000,0.951356
15.7000,0.952178
15.8000,0.952973
15.9000,0.953742
16.0000,0.954486
16.1000,0.955225
16.2000,0.955944
16.3000,0.956640
16.4000,0.957314
16.5000,0.957971
16.6000,0.958623
16.7000,0.959255
16.8000,0.959868
16.9000,0.960462
17.0000,0.961045
17.1000,0.961619
17.2000,0.962177
17.3000,0.962718
17.4000,0.963244
17.5000,0.963761
17.6000,0.964269
17.7000,0.964763
17.8000,0.965243
17.9000,0.965711
18.0000,0.966169
18.1000,0.966620
18.2000,0.967059
18.3000,0.967486
18.4000,0.967902
18.5000,0.968309
18.6000,0.968711
18.7000,0.969102
18.8000,0.969483
18.9000,0.969855
19.0000,0.970218
19.1000,0.970575
19.2000,0.970925
19.3000,0.971266
19.4000,0.971599
19.5000,0.971924
19.6000,0.972240
19.7000,0.972546
19.8000,0.972845
19.9000,0.973137
20.0000,0.973423
20.1000,0.973703
20.2000,0.973988
20.3000,0.974270
20.4000,0.974546
20.5000,0.974817
20.6000,0.975081
20.7000,0.975340
20.8000,0.975593
20.9000,0.975842
21.0000,0.976085
21.1000,0.976324
21.2000,0.976558
21.3000,0.976787
21.4000,0.977011
21.5000,0.977230
21.6000,0.977446
21.7000,0.977657
21.8000,0.977864
21.9000,0.978068
22.0000,0.978266
22.1000,0.978461
22.2000,0.978652
22.3000,0.978840
22.4000,0.979024
22.5000,0.979206
22.6000,0.979383
22.7000,0.979556
22.8000,0.979726
22.9000,0.979893
23.0000,0.980058
23.1000,0.980219
23.2000,0.980378
23.3000,0.980533
23.4000,0.980684
23.5000,0.980834
23.6000,0.980980
23.7000,0.981125
23.8000,0.981267
23.9000,0.981407
24.0000,0.981542
24.1000,0.981675
24.2000,0.981807
24.3000,0.981936
24.4000,0.982063
24.5000,0.982189
24.6000,0.982312
24.7000,0.982431
24.8000,0.982549
24.9000,0.982665
25.0000,0.982779
25.1000,0.982892
25.2000,0.983003
25.3000,0.983112
25.4000,0.983218
25.5000,0.983322
25.6000,0.983425
25.7000,0.983526
25.8000,0.983626
25.9000,0.983724
26.0000,0.983822
26.1000,0.983916
26.2000,0.984008
26.3000,0.984099
26.4000,0.984189
26.5000,0.984278
26.6000,0.984365
26.7000,0.984452
26.8000,0.984537
26.9000,0.984619
27.0000,0.984699
27.1000,0.984779
27.2000,0.984858
27.3000,0.984936
27.4000,0.985014
27.5000,0.985090
27.6000,0.985164
27.7000,0.985236
27.8000,0.985307
27.9000,0.985377
28.0000,0.985447
28.1000,0.985516
28.2000,0.985584
28.3000,0.985651
28.4000,0.985717
28.5000,0.985780
28.6000,0.985843
28.7000,0.985905
28.8000,0.985966
28.9000,0.986027
29.0000,0.986087
29.1000,0.986147
29.2000,0.986205
29.3000,0.986261
29.4000,0.986316
29.5000,0.986371
29.6000,0.986426
29.7000,0.986479
29.8000,0.986533
29.9000,0.986586
30.0000,0.986638
30.1000,0.986690
30.2000,0.986742
30.3000,0.986793
30.4000,0.986843
30.5000,0.986893
30.6000,0.986943
30.7000,0.986992
30.8000,0.987041
30.9000,0.987090
