energy (keV),transmission
1.00000,1.34207e-14
1.10000,1.96304e-11
1.20000,3.66184e-09
1.30000,1.71592e-07
1.40000,3.14550e-06
1.50000,2.87951e-05
1.60000,1.60725e-05
1.70000,8.61120e-05
1.80000,0.000335622
1.90000,0.00101991
2.00000,0.00253174
2.10000,0.00541204
2.20000,0.0102538
2.30000,0.0175492
2.40000,0.0278004
2.50000,0.0411045
2.60000,0.0576253
2.70000,0.0771802
2.80000,0.0994063
2.90000,0.124036
3.00000,0.150748
3.10000,0.178946
3.20000,0.208218
3.30000,0.238169
3.40000,0.268445
3.50000,0.298748
3.60000,0.328816
3.70000,0.358422
3.80000,0.387377
3.90000,0.415537
4.00000,0.442779
4.10000,0.469006
4.20000,0.494157
4.30000,0.518371
4.40000,0.541556
4.50000,0.563603
4.60000,0.584512
4.70000,0.604288
4.80000,0.623341
4.90000,0.641321
5.00000,0.658250
5.10000,0.674340
5.20000,0.689685
5.30000,0.704080
5.40000,0.717715
5.50000,0.730738
5.60000,0.742912
5.70000,0.754524
5.80000,0.765523
5.90000,0.775798
6.00000,0.785741
6.10000,0.794998
6.20000,0.803854
6.30000,0.812213
6.40000,0.820109
6.50000,0.827661
6.60000,0.834729
6.70000,0.841554
6.80000,0.847898
6.90000,0.854066
7.00000,0.859782
7.10000,0.865358
7.20000,0.870524
7.30000,0.875563
7.40000,0.880246
7.50000,0.884801
7.60000,0.889062
7.70000,0.893177
7.80000,0.897064
7.90000,0.900779
8.00000,0.904337
8.10000,0.907688
8.20000,0.910956
8.30000,0.914001
8.40000,0.916987
8.50000,0.919794
8.60000,0.922487
8.70000,0.925080
8.80000,0.927506
8.90000,0.929909
9.00000,0.932159
9.10000,0.934322
9.20000,0.936415
9.30000,0.938379
9.40000,0.940311
9.50000,0.942143
9.60000,0.943878
9.70000,0.945593
9.80000,0.947206
9.90000,0.948756
10.0000,0.950271
10.1000,0.951698
10.2000,0.953084
10.3000,0.954428
10.4000,0.955698
10.5000,0.956936
10.6000,0.958134
10.7000,0.959268
10.8000,0.960373
10.9000,0.961446
11.0000,0.962462
11.1000,0.963448
11.2000,0.964412
11.3000,0.965327
11.4000,0.966206
11.5000,0.967076
11.6000,0.967903
11.7000,0.968688
11.8000,0.969474
11.9000,0.970223
12.0000,0.970936
12.1000,0.971636
12.2000,0.972317
12.3000,0.972966
12.4000,0.973588
12.5000,0.974210
12.6000,0.974803
12.7000,0.975369
12.8000,0.975924
12.9000,0.976467
13.0000,0.976986
13.1000,0.977483
13.2000,0.977977
13.3000,0.978455
13.4000,0.978912
13.5000,0.979350
13.6000,0.979790
13.7000,0.980212
13.8000,0.980616
13.9000,0.981006
14.0000,0.981396
14.1000,0.981770
14.2000,0.982129
14.3000,0.982476
14.4000,0.982822
14.5000,0.983156
14.6000,0.983476
14.7000,0.983785
14.8000,0.984094
14.9000,0.984393
15.0000,0.984680
15.1000,0.984957
15.2000,0.985232
15.3000,0.985501
15.4000,0.985760
15.5000,0.986010
15.6000,0.986254
15.7000,0.986496
15.8000,0.986730
15.9000,0.986955
16.0000,0.987173
16.1000,0.987391
16.2000,0.987602
16.3000,0.987806
