energy (keV),transmission
16.4000,0.988004
16.5000,0.988196
16.6000,0.988388
16.7000,0.988574
16.8000,0.988753
16.9000,0.988927
17.0000,0.989098
17.1000,0.989267
17.2000,0.989430
17.3000,0.989589
17.4000,0.989743
17.5000,0.989895
17.6000,0.990044
17.7000,0.990189
17.8000,0.990330
17.9000,0.990466
18.0000,0.990601
18.1000,0.990733
18.2000,0.990862
18.3000,0.990987
18.4000,0.991109
18.5000,0.991228
18.6000,0.991346
18.7000,0.991461
18.8000,0.991573
18.9000,0.991682
19.0000,0.991788
19.1000,0.991894
19.2000,0.991996
19.3000,0.992096
19.4000,0.992194
19.5000,0.992289
19.6000,0.992382
19.7000,0.992473
19.8000,0.992562
19.9000,0.992648
20.0000,0.992733
20.1000,0.992815
20.2000,0.992899
20.3000,0.992981
20.4000,0.993062
20.5000,0.993141
20.6000,0.993218
20.7000,0.993293
20.8000,0.993368
20.9000,0.993441
21.0000,0.993512
21.1000,0.993581
21.2000,0.993650
21.3000,0.993716
21.4000,0.993782
21.5000,0.993846
21.6000,0.993909
21.7000,0.993971
21.8000,0.994032
21.9000,0.994091
22.0000,0.994149
22.1000,0.994207
22.2000,0.994263
22.3000,0.994318
22.4000,0.994371
22.5000,0.994424
22.6000,0.994476
22.7000,0.994527
22.8000,0.994577
22.9000,0.994626
23.0000,0.994674
23.1000,0.994721
23.2000,0.994768
23.3000,0.994813
23.4000,0.994858
23.5000,0.994902
23.6000,0.994945
23.7000,0.994987
23.8000,0.995029
23.9000,0.995070
24.0000,0.995110
24.1000,0.995149
24.2000,0.995188
24.3000,0.995226
24.4000,0.995263
24.5000,0.995300
24.6000,0.995336
24.7000,0.995371
24.8000,0.995406
24.9000,0.995440
25.0000,0.995473
25.1000,0.995507
25.2000,0.995539
25.3000,0.995571
25.4000,0.995602
25.5000,0.995633
25.6000,0.995663
25.7000,0.995693
25.8000,0.995723
25.9000,0.995752
26.0000,0.995780
26.1000,0.995808
26.2000,0.995835
26.3000,0.995862
26.4000,0.995889
26.5000,0.995915
26.6000,0.995941
26.7000,0.995966
26.8000,0.995991
26.9000,0.996015
27.0000,0.996039
27.1000,0.996063
27.2000,0.996086
27.3000,0.996109
27.4000,0.996132
27.5000,0.996155
27.6000,0.996176
27.7000,0.996198
27.8000,0.996219
27.9000,0.996240
28.0000,0.996260
28.1000,0.996281
28.2000,0.996301
28.3000,0.996321
28.4000,0.996340
28.5000,0.996359
28.6000,0.996378
28.7000,0.996396
28.8000,0.996414
28.9000,0.996432
29.0000,0.996450
29.1000,0.996468
29.2000,0.996485
29.3000,0.996502
29.4000,0.996518
29.5000,0.996534
29.6000,0.996551
29.7000,0.996566
29.8000,0.996582
29.9000,0.996598
30.0000,0.996613
30.1000,0.996629
30.2000,0.996644
30.3000,0.996659
30.4000,0.996674
30.5000,0.996688
30.6000,0.996703
30.7000,0.996717
30.8000,0.996731
30.9000,0.996745
