energy[keV],transmission,transmission_lb,transmission_ub
1.00000,5.78304e-22,5.01493e-23,6.66879e-21
1.10000,4.18565e-17,6.35114e-18,2.75851e-16
1.20000,1.32186e-13,3.00085e-14,5.82270e-13
1.30000,4.46981e-11,1.35770e-11,1.47155e-10
1.40000,3.38994e-09,1.27850e-09,8.98839e-09
1.50000,9.64240e-08,4.29927e-08,2.16260e-07
1.60000,0.00000,0.00000,0.00000
1.70000,0.00000,0.00000,0.00000
1.80000,0.00000,0.00000,0.00000
1.90000,0.00000,0.00000,1.40130e-44
2.00000,2.18897e-41,2.03188e-43,2.36179e-39
2.10000,1.14093e-36,1.82021e-38,7.15141e-35
2.20000,1.32253e-32,3.36881e-34,5.19197e-31
2.30000,3.93646e-29,1.49576e-30,1.03598e-27
2.40000,4.07179e-26,2.18915e-27,7.57345e-25
2.50000,1.60610e-23,1.16430e-24,2.21557e-22
2.60000,2.96825e-21,2.79336e-22,3.15410e-20
2.70000,2.83245e-19,3.34789e-20,2.39637e-18
2.80000,1.52307e-17,2.19713e-18,1.05580e-16
2.90000,5.10672e-16,8.78114e-17,2.96985e-15
3.00000,1.15295e-14,2.31687e-15,5.73748e-14
3.10000,1.81920e-13,4.19637e-14,7.88651e-13
3.20000,2.11238e-12,5.50823e-13,8.10091e-12
3.30000,1.88273e-11,5.47682e-12,6.47215e-11
3.40000,1.33397e-10,4.27962e-11,4.15805e-10
3.50000,7.73980e-10,2.71123e-10,2.20949e-09
3.60000,3.76977e-09,1.42932e-09,9.94258e-09
3.70000,1.57402e-08,6.41006e-09,3.86510e-08
3.80000,5.73442e-08,2.49123e-08,1.31997e-07
3.90000,1.85150e-07,8.52905e-08,4.01928e-07
4.00000,5.37011e-07,2.60905e-07,1.10531e-06
4.10000,1.41520e-06,7.21704e-07,2.77509e-06
4.20000,3.42195e-06,1.82384e-06,6.42037e-06
4.30000,7.70431e-06,4.27633e-06,1.38803e-05
4.40000,1.62348e-05,9.35342e-06,2.81790e-05
4.50000,3.21297e-05,1.91537e-05,5.38966e-05
4.60000,6.00623e-05,3.69430e-05,9.76499e-05
4.70000,0.000106596,6.74724e-05,0.000168404
4.80000,0.000182313,0.000118538,0.000280399
4.90000,0.000298624,0.000199013,0.000448093
5.00000,0.000470127,0.000320499,0.000689612
5.10000,0.000716837,0.000499105,0.00102955
5.20000,0.00106324,0.000755027,0.00149727
5.30000,0.00152890,0.00110560,0.00211427
5.40000,0.00214406,0.00157688,0.00291524
5.50000,0.00294631,0.00220162,0.00394289
5.60000,0.00394993,0.00299515,0.00520907
5.70000,0.00520403,0.00400089,0.00676897
5.80000,0.00673541,0.00524545,0.00864860
5.90000,0.00854927,0.00673791,0.0108476
6.00000,0.0107404,0.00856191,0.0134731
6.10000,0.0132576,0.0106804,0.0164567
6.20000,0.0161852,0.0131696,0.0198912
6.30000,0.0195100,0.0160240,0.0237544
6.40000,0.0232460,0.0192604,0.0280563
6.50000,0.0274521,0.0229353,0.0328584
6.60000,0.0320463,0.0269815,0.0380618
