energy[keV],transmission,transmission_lb,transmission_ub
29.5000,0.964678,0.962945,0.966414
29.6000,0.964992,0.963274,0.966712
29.7000,0.965299,0.963596,0.967005
29.8000,0.965602,0.963913,0.967293
29.9000,0.965899,0.964224,0.967576
30.0000,0.966191,0.964530,0.967854
30.1000,0.966478,0.964831,0.968127
30.2000,0.966760,0.965127,0.968395
30.3000,0.967037,0.965418,0.968659
30.4000,0.967310,0.965704,0.968919
30.5000,0.967579,0.965986,0.969175
30.6000,0.967843,0.966262,0.969426
30.7000,0.968103,0.966535,0.969673
30.8000,0.968358,0.966803,0.969916
30.9000,0.968610,0.967066,0.970156
